CateringService_Name,Train_No,Service_Type,Menu_Description,Cost
"Christensen, Taylor and Clarke",16,Snack,Deliciously Curated Menu for Discerning Tastes,25
"Stewart, Hamilton and Gregory",13,Snack,Hearty and Wholesome Dinner Selection,7
Larson LLC,9,Meal,Gourmet Finger Foods for Special Occasions,19
Johnson and Sons,13,Meal,Deliciously Curated Menu for Discerning Tastes,24
Long-Morris,5,Meal,Innovative and Flavorful Meal Creations,28
Ortiz-Davis,15,Snack,Healthy Grilled Options for Fitness Enthusiasts,13
Phillips Ltd,6,Snack,Sumptuous Feast with Culinary Delights,17
Davis-Medina,5,Snack,Satisfy Your Cravings with Our Signature Snacks,24
Rodriguez and Sons,2,Meal,Elevate Your Palate with Culinary Masterpieces,27
"Wallace, Perez and George",3,Snack,Sumptuous Feast with Culinary Delights,17
Galloway-Davis,7,Snack,Vegetarian Delight with Fresh Herbs,12
"Rose, Parker and Lane",9,Snack,Innovative and Flavorful Meal Creations,15
Newman Inc,20,Meal,Healthy Grilled Options for Fitness Enthusiasts,21
"Williamson, Hester and Pennington",9,Snack,Savory and Satisfying Home-Style Meal,12
"Moore, Smith and Marshall",11,Snack,Hearty and Wholesome Dinner Selection,24
Choi-Rivera,10,Snack,Deliciously Curated Menu for Discerning Tastes,7
Singleton-Wright,8,Snack,Exquisite Mediterranean Flavors in Every Bite,25
Richardson-Williamson,13,Snack,Gourmet Finger Foods for Special Occasions,14
Rose Inc,12,Meal,Hearty and Wholesome Dinner Selection,21
Smith-Ferguson,18,Meal,Deliciously Curated Menu for Discerning Tastes,6
Russo and Sons,15,Snack,Elevate Your Palate with Culinary Masterpieces,29
"Wilson, Smith and Meyer",10,Meal,Deliciously Curated Menu for Discerning Tastes,6
Cole PLC,9,Meal,Sumptuous Feast with Culinary Delights,17
"Johnson, Yang and Hopkins",12,Meal,Savory and Satisfying Home-Style Meal,7
Moore-Rios,20,Meal,Elevate Your Palate with Culinary Masterpieces,19
Stephens-Johnson,5,Meal,Vegetarian Delight with Fresh Herbs,28
Strickland Inc,14,Meal,Deliciously Curated Menu for Discerning Tastes,16
Wilson-Pope,10,Snack,Gourmet Finger Foods for Special Occasions,30
Moore-Hutchinson,18,Snack,Exquisite Mediterranean Flavors in Every Bite,28
"Pacheco, Davis and Abbott",11,Meal,Innovative and Flavorful Meal Creations,25
Bullock-Alvarez,14,Snack,Decadent Chocolate Dessert Delight,23
"Frey, Yu and Dean",5,Snack,Crispy Snack Platter with Zesty Dips,12
"Ramos, Pope and Watson",1,Snack,Decadent Chocolate Dessert Delight,10
Camacho and Sons,14,Meal,Hearty and Wholesome Dinner Selection,19
Matthews-White,10,Snack,Elevate Your Palate with Culinary Masterpieces,26
"Frank, Vaughan and Gomez",2,Meal,Vegetarian Delight with Fresh Herbs,16
Campbell LLC,12,Snack,Healthy Grilled Options for Fitness Enthusiasts,26
Dunlap-Sloan,5,Meal,Gourmet Finger Foods for Special Occasions,18
"Moore, Huynh and Jackson",13,Meal,Innovative and Flavorful Meal Creations,17
"Alexander, Peters and Cunningham",20,Snack,Elevate Your Palate with Culinary Masterpieces,10
"Leon, Moses and Ford",13,Meal,A Symphony of Flavors in Every Course,11
"Stuart, Hernandez and Ball",20,Snack,Deliciously Curated Menu for Discerning Tastes,19
Stone-Graham,20,Snack,Vegetarian Delight with Fresh Herbs,15
"Simmons, Gonzalez and Frazier",2,Meal,Exquisite Mediterranean Flavors in Every Bite,13
Chambers-Avila,14,Meal,Sumptuous Feast with Culinary Delights,24
Curry-Green,6,Snack,Exquisite Mediterranean Flavors in Every Bite,12
Mcdonald PLC,12,Meal,Deliciously Curated Menu for Discerning Tastes,17
Lyons-Mcfarland,8,Snack,Healthy Grilled Options for Fitness Enthusiasts,11
"Humphrey, Smith and Glenn",11,Snack,Elevate Your Palate with Culinary Masterpieces,8
"Doyle, Baker and Davis",2,Snack,A Symphony of Flavors in Every Course,5
Reeves-Smith,10,Snack,Decadent Chocolate Dessert Delight,9
"Coleman, Phillips and Smith",3,Meal,Elevate Your Palate with Culinary Masterpieces,30
Roberts-Holt,20,Meal,Vegetarian Delight with Fresh Herbs,17
Buchanan-Benitez,16,Meal,Elevate Your Palate with Culinary Masterpieces,5
White-Hernandez,7,Meal,A Symphony of Flavors in Every Course,15
Mendez-Austin,8,Snack,Deliciously Curated Menu for Discerning Tastes,14
"Walsh, Garcia and Washington",4,Snack,Healthy Grilled Options for Fitness Enthusiasts,28
"Long, Lee and Harrison",6,Meal,Vegetarian Delight with Fresh Herbs,29
Kaufman-Decker,3,Snack,Savory and Satisfying Home-Style Meal,14
"Alexander, Campbell and Gutierrez",19,Meal,Deliciously Curated Menu for Discerning Tastes,9
"Lowery, Randall and Phillips",11,Meal,Decadent Chocolate Dessert Delight,8
Graham LLC,7,Snack,Deliciously Curated Menu for Discerning Tastes,12
"Brooks, Smith and Soto",17,Snack,Innovative and Flavorful Meal Creations,27
Elliott Ltd,20,Meal,Indulge in the Richness of Fine Dining,12
Collins-Meyer,20,Meal,Satisfy Your Cravings with Our Signature Snacks,22
Smith Inc,9,Snack,Healthy Grilled Options for Fitness Enthusiasts,11
"Hardy, Donaldson and Boone",2,Snack,Gourmet Finger Foods for Special Occasions,6
"Willis, Webb and Hunt",7,Meal,Satisfy Your Cravings with Our Signature Snacks,9
"Chandler, Rodriguez and Mcfarland",13,Meal,Sumptuous Feast with Culinary Delights,7
Martinez-Mitchell,12,Snack,Decadent Chocolate Dessert Delight,11
Noble LLC,1,Meal,Vegetarian Delight with Fresh Herbs,9
Davila-Everett,5,Snack,Indulge in the Richness of Fine Dining,13
Garza and Sons,2,Snack,Vegetarian Delight with Fresh Herbs,26
Marshall-Knight,1,Meal,Savory and Satisfying Home-Style Meal,30
Chang-Mendoza,8,Meal,Innovative and Flavorful Meal Creations,12
Cervantes Inc,1,Snack,Decadent Chocolate Dessert Delight,27
Singleton Inc,5,Meal,Elevate Your Palate with Culinary Masterpieces,17
Smith and Sons,18,Meal,Crispy Snack Platter with Zesty Dips,25
"Wu, James and Parker",6,Meal,Elevate Your Palate with Culinary Masterpieces,9
"Mitchell, Malone and Salazar",6,Meal,Hearty and Wholesome Dinner Selection,9
Johnson-Smith,14,Snack,Gourmet Finger Foods for Special Occasions,14
Dominguez and Sons,4,Meal,Crispy Snack Platter with Zesty Dips,22
Blankenship and Sons,12,Meal,Elevate Your Palate with Culinary Masterpieces,12
"Munoz, Johnson and Webb",2,Meal,Savory and Satisfying Home-Style Meal,29
Phillips PLC,5,Meal,Vegetarian Delight with Fresh Herbs,6
"Ruiz, Powers and George",19,Snack,Vegetarian Delight with Fresh Herbs,14
Smith-Sutton,12,Meal,A Symphony of Flavors in Every Course,6
Massey-Martin,17,Snack,Exquisite Mediterranean Flavors in Every Bite,24
Rowe-Lopez,14,Snack,Savory and Satisfying Home-Style Meal,14
"Curry, Garcia and Chambers",10,Meal,Exquisite Mediterranean Flavors in Every Bite,14
Werner Inc,18,Snack,Vegetarian Delight with Fresh Herbs,15
Bates-Johnson,14,Snack,Sumptuous Feast with Culinary Delights,10
"Lloyd, Whitney and Ross",2,Meal,Hearty and Wholesome Dinner Selection,27
Smith-Murillo,14,Meal,Innovative and Flavorful Meal Creations,8
Vance-Pierce,18,Meal,Gourmet Finger Foods for Special Occasions,24
Phelps Inc,6,Meal,Healthy Grilled Options for Fitness Enthusiasts,17
"Myers, Cannon and Bernard",5,Meal,Deliciously Curated Menu for Discerning Tastes,5
Carter Group,2,Snack,Deliciously Curated Menu for Discerning Tastes,17
"Kane, Rowe and Haas",4,Meal,Crispy Snack Platter with Zesty Dips,19
Collins-Morgan,5,Snack,A Symphony of Flavors in Every Course,19
Aguilar-Lynch,18,Snack,Exquisite Mediterranean Flavors in Every Bite,10
Parker PLC,12,Meal,Decadent Chocolate Dessert Delight,13
"Vargas, Graham and Anderson",5,Snack,Vegetarian Delight with Fresh Herbs,9
Cardenas-Pineda,13,Snack,Indulge in the Richness of Fine Dining,5
"Reid, Brown and Horton",8,Meal,Sumptuous Feast with Culinary Delights,8
"Gill, Robertson and Daniels",6,Snack,Savory and Satisfying Home-Style Meal,26
Cobb-Weaver,11,Meal,Crispy Snack Platter with Zesty Dips,25
Morris-Delgado,12,Meal,Indulge in the Richness of Fine Dining,24
Rivera and Sons,14,Snack,Gourmet Finger Foods for Special Occasions,21
Garcia-Woods,9,Snack,Innovative and Flavorful Meal Creations,8
"Valentine, Reed and Singleton",12,Snack,Elevate Your Palate with Culinary Masterpieces,14
"Russell, Turner and Martinez",6,Meal,Exquisite Mediterranean Flavors in Every Bite,25
Jones Group,3,Meal,Sumptuous Feast with Culinary Delights,5
"Sanchez, Sexton and Hickman",18,Snack,Satisfy Your Cravings with Our Signature Snacks,18
Stevens-Harris,1,Snack,Sumptuous Feast with Culinary Delights,18
"Kemp, Cruz and Suarez",11,Snack,Savory and Satisfying Home-Style Meal,25
Byrd-Hammond,18,Snack,Gourmet Finger Foods for Special Occasions,9
Mcdaniel-Stewart,17,Meal,Crispy Snack Platter with Zesty Dips,11
Mcfarland-Caldwell,6,Meal,Gourmet Finger Foods for Special Occasions,19
"Fields, Russell and Chapman",12,Meal,Deliciously Curated Menu for Discerning Tastes,5
"Hardy, Jones and Sanchez",13,Meal,A Symphony of Flavors in Every Course,22
Allen PLC,10,Snack,Gourmet Finger Foods for Special Occasions,20
Young-Hill,2,Meal,Crispy Snack Platter with Zesty Dips,26
"Colon, Miller and Carlson",20,Snack,A Symphony of Flavors in Every Course,8
Johnson Inc,19,Snack,Crispy Snack Platter with Zesty Dips,7
Warner-Perez,5,Meal,Savory and Satisfying Home-Style Meal,30
"Watson, Davis and Walsh",13,Meal,Innovative and Flavorful Meal Creations,30
"Willis, Lee and Case",4,Meal,Crispy Snack Platter with Zesty Dips,15
Diaz-Rivers,8,Meal,Elevate Your Palate with Culinary Masterpieces,18
Larson Group,8,Meal,Indulge in the Richness of Fine Dining,10
"Bruce, Lang and Allen",3,Meal,Hearty and Wholesome Dinner Selection,26
Manning-Price,16,Snack,Innovative and Flavorful Meal Creations,11
"Shannon, Avery and Duffy",4,Snack,Deliciously Curated Menu for Discerning Tastes,13
Gould and Sons,7,Snack,Deliciously Curated Menu for Discerning Tastes,23
Walker PLC,15,Meal,Sumptuous Feast with Culinary Delights,7
Cook-Vargas,7,Snack,Deliciously Curated Menu for Discerning Tastes,29
Gonzales Ltd,5,Meal,Deliciously Curated Menu for Discerning Tastes,13
"Carney, Berry and Mendez",17,Snack,Savory and Satisfying Home-Style Meal,16
Becker-Jackson,5,Snack,Decadent Chocolate Dessert Delight,8
Smith-Pugh,3,Snack,Innovative and Flavorful Meal Creations,27
Bailey and Sons,4,Snack,Savory and Satisfying Home-Style Meal,16
"Hill, Howard and Castro",15,Snack,Gourmet Finger Foods for Special Occasions,23
Coleman Inc,3,Meal,Hearty and Wholesome Dinner Selection,22
Jimenez and Sons,2,Snack,Sumptuous Feast with Culinary Delights,7
Proctor-Perez,11,Snack,Hearty and Wholesome Dinner Selection,16
"Ortiz, Williams and Flores",15,Snack,Deliciously Curated Menu for Discerning Tastes,20
"Peterson, Lowery and Munoz",13,Snack,Crispy Snack Platter with Zesty Dips,30
"Pena, Shah and Ross",2,Meal,Healthy Grilled Options for Fitness Enthusiasts,12
"Moore, Davis and Melendez",17,Meal,Decadent Chocolate Dessert Delight,19
"Rollins, Montoya and Villanueva",9,Meal,Decadent Chocolate Dessert Delight,30
Burke Ltd,3,Meal,Deliciously Curated Menu for Discerning Tastes,5
Williams Inc,11,Meal,Healthy Grilled Options for Fitness Enthusiasts,8
Farley LLC,3,Meal,Elevate Your Palate with Culinary Masterpieces,9
Burnett-Robinson,20,Meal,Gourmet Finger Foods for Special Occasions,26
"Gibson, Rose and Lane",9,Snack,Indulge in the Richness of Fine Dining,19
Edwards-Wells,6,Snack,Sumptuous Feast with Culinary Delights,24
"Gibson, Bailey and Allen",4,Snack,Vegetarian Delight with Fresh Herbs,15
Chavez Group,17,Meal,Elevate Your Palate with Culinary Masterpieces,26
Medina-Avila,7,Meal,Savory and Satisfying Home-Style Meal,8
Martinez Inc,11,Snack,Hearty and Wholesome Dinner Selection,24
Hill LLC,7,Meal,Indulge in the Richness of Fine Dining,22
"Baker, Hicks and Rivas",19,Meal,Healthy Grilled Options for Fitness Enthusiasts,16
"Solomon, Smith and Gray",18,Meal,Gourmet Finger Foods for Special Occasions,6
Hall Ltd,17,Meal,Innovative and Flavorful Meal Creations,19
Howard and Sons,13,Meal,Healthy Grilled Options for Fitness Enthusiasts,25
Owens-Mata,6,Snack,Sumptuous Feast with Culinary Delights,14
Horn LLC,6,Snack,Deliciously Curated Menu for Discerning Tastes,7
"Pearson, Nichols and Fisher",15,Snack,Elevate Your Palate with Culinary Masterpieces,6
"Kemp, Jenkins and Johnson",5,Snack,Innovative and Flavorful Meal Creations,27
Reese-Rivera,16,Snack,Satisfy Your Cravings with Our Signature Snacks,27
"Montgomery, Frye and Sims",12,Snack,Sumptuous Feast with Culinary Delights,22
"Warren, Neal and Gibson",14,Meal,Hearty and Wholesome Dinner Selection,10
"Walters, Martin and Williams",6,Meal,Hearty and Wholesome Dinner Selection,22
Jones-Evans,16,Snack,Satisfy Your Cravings with Our Signature Snacks,29
Mathis-Conrad,8,Snack,Vegetarian Delight with Fresh Herbs,21
"Bennett, Shields and Wheeler",10,Meal,Hearty and Wholesome Dinner Selection,14
"Kramer, Herrera and Villarreal",19,Snack,Gourmet Finger Foods for Special Occasions,10
Hernandez PLC,17,Meal,Savory and Satisfying Home-Style Meal,30
"Bradley, Garcia and Gomez",9,Meal,Elevate Your Palate with Culinary Masterpieces,21
"Martinez, Lopez and Caldwell",1,Snack,Innovative and Flavorful Meal Creations,7
Bennett Ltd,15,Snack,Vegetarian Delight with Fresh Herbs,21
Williams Group,12,Meal,Indulge in the Richness of Fine Dining,12
Rivera-Roth,13,Snack,Deliciously Curated Menu for Discerning Tastes,14
"Nicholson, Price and Fleming",19,Snack,Gourmet Finger Foods for Special Occasions,29
Frederick Ltd,1,Snack,A Symphony of Flavors in Every Course,24
"Yoder, Powell and Robinson",14,Snack,Indulge in the Richness of Fine Dining,15
Peterson-Brown,4,Snack,Decadent Chocolate Dessert Delight,7
Newton-Anderson,9,Meal,Gourmet Finger Foods for Special Occasions,29
Oconnell-Smith,17,Snack,Sumptuous Feast with Culinary Delights,15
Young Ltd,2,Snack,Crispy Snack Platter with Zesty Dips,16
Williams-Peterson,4,Meal,A Symphony of Flavors in Every Course,18
Adkins Inc,18,Snack,A Symphony of Flavors in Every Course,7
White-Collins,13,Snack,A Symphony of Flavors in Every Course,7
Weiss-Mccormick,20,Snack,Healthy Grilled Options for Fitness Enthusiasts,23
Moore-Mendoza,20,Meal,Gourmet Finger Foods for Special Occasions,12
Smith LLC,19,Snack,Gourmet Finger Foods for Special Occasions,16
Rodriguez-Hart,13,Meal,Sumptuous Feast with Culinary Delights,11
"Mcdaniel, Frank and White",4,Meal,Vegetarian Delight with Fresh Herbs,9
Allen LLC,3,Meal,Exquisite Mediterranean Flavors in Every Bite,6
"Jackson, Davis and Gordon",16,Snack,Vegetarian Delight with Fresh Herbs,10
Hale-Hoffman,1,Snack,Exquisite Mediterranean Flavors in Every Bite,6
Smith-Sanchez,17,Meal,Satisfy Your Cravings with Our Signature Snacks,23
"Crosby, Robertson and Smith",7,Meal,Healthy Grilled Options for Fitness Enthusiasts,26
Shelton-Morgan,5,Snack,Savory and Satisfying Home-Style Meal,12
"Obrien, Turner and Tucker",17,Meal,Crispy Snack Platter with Zesty Dips,11
Thompson-Singleton,11,Meal,Savory and Satisfying Home-Style Meal,22
Williams-Callahan,9,Meal,Vegetarian Delight with Fresh Herbs,21
"Carson, Santana and Hawkins",11,Snack,Sumptuous Feast with Culinary Delights,26
Harris-Doyle,17,Meal,Deliciously Curated Menu for Discerning Tastes,19
Hicks PLC,14,Meal,A Symphony of Flavors in Every Course,28
Holland and Sons,3,Snack,Hearty and Wholesome Dinner Selection,8
"Dominguez, Williams and Nguyen",8,Snack,Exquisite Mediterranean Flavors in Every Bite,16
Parker-Giles,12,Snack,Exquisite Mediterranean Flavors in Every Bite,11
"Bauer, Matthews and Floyd",2,Snack,Savory and Satisfying Home-Style Meal,23
Jones-Franklin,5,Snack,Gourmet Finger Foods for Special Occasions,18
"Simpson, Henderson and Freeman",4,Snack,Hearty and Wholesome Dinner Selection,13
Harvey-Walker,2,Snack,Deliciously Curated Menu for Discerning Tastes,19
Hall Inc,11,Meal,Elevate Your Palate with Culinary Masterpieces,26
Harris and Sons,11,Snack,Hearty and Wholesome Dinner Selection,24
Morgan and Sons,12,Snack,Indulge in the Richness of Fine Dining,16
Ellis PLC,12,Meal,Exquisite Mediterranean Flavors in Every Bite,16
"Blackburn, Casey and Johnson",10,Meal,Decadent Chocolate Dessert Delight,12
Bright-Mendez,16,Meal,Indulge in the Richness of Fine Dining,6
Scott Ltd,20,Snack,Deliciously Curated Menu for Discerning Tastes,19
Hudson LLC,14,Snack,Exquisite Mediterranean Flavors in Every Bite,5
"Rodriguez, Alvarado and Williams",3,Snack,Sumptuous Feast with Culinary Delights,18
"Stout, Carter and Brown",10,Meal,Indulge in the Richness of Fine Dining,5
Young-Michael,10,Meal,Healthy Grilled Options for Fitness Enthusiasts,7
"Mullen, Phelps and Shannon",13,Snack,Gourmet Finger Foods for Special Occasions,19
Nguyen-Tucker,4,Snack,Vegetarian Delight with Fresh Herbs,24
Glass-Clark,4,Snack,Deliciously Curated Menu for Discerning Tastes,10
Porter-York,2,Meal,Indulge in the Richness of Fine Dining,15
Jones Group,19,Snack,A Symphony of Flavors in Every Course,13
Fisher-Edwards,5,Snack,Crispy Snack Platter with Zesty Dips,18
"Jones, Palmer and Cole",15,Snack,Savory and Satisfying Home-Style Meal,28
Davis-Mcfarland,6,Snack,Elevate Your Palate with Culinary Masterpieces,10
Pierce-Cook,2,Meal,Satisfy Your Cravings with Our Signature Snacks,6
"Chapman, Randolph and Jenkins",2,Snack,Deliciously Curated Menu for Discerning Tastes,6
Gonzalez and Sons,6,Snack,Elevate Your Palate with Culinary Masterpieces,28
Park-Allen,3,Meal,Satisfy Your Cravings with Our Signature Snacks,25
Harrington Ltd,15,Snack,A Symphony of Flavors in Every Course,17
Russell-Martin,7,Snack,Savory and Satisfying Home-Style Meal,25
"Smith, Tran and Phillips",1,Meal,Satisfy Your Cravings with Our Signature Snacks,8
Martin PLC,14,Snack,Sumptuous Feast with Culinary Delights,16
Ellis-Luna,17,Meal,Savory and Satisfying Home-Style Meal,25
"Robinson, Zuniga and Reyes",18,Snack,A Symphony of Flavors in Every Course,11
Bryant-Wood,20,Meal,Gourmet Finger Foods for Special Occasions,27
Tucker-Chambers,11,Snack,Savory and Satisfying Home-Style Meal,29
Gardner and Sons,19,Meal,Indulge in the Richness of Fine Dining,19
Vasquez Group,4,Meal,Satisfy Your Cravings with Our Signature Snacks,19
Manning LLC,14,Meal,A Symphony of Flavors in Every Course,16
Greer-Lopez,4,Snack,A Symphony of Flavors in Every Course,11
"Thomas, Smith and Liu",6,Meal,Gourmet Finger Foods for Special Occasions,20
"Hamilton, Porter and Carr",5,Meal,Healthy Grilled Options for Fitness Enthusiasts,16
"Moran, Vaughn and Gross",5,Meal,Exquisite Mediterranean Flavors in Every Bite,12
Price PLC,10,Meal,Indulge in the Richness of Fine Dining,5
Lewis Ltd,2,Snack,Sumptuous Feast with Culinary Delights,29
"Johnson, Contreras and Morris",16,Snack,Decadent Chocolate Dessert Delight,28
Hoover Inc,11,Meal,Satisfy Your Cravings with Our Signature Snacks,19
Coleman and Sons,8,Snack,Hearty and Wholesome Dinner Selection,24
Harper Group,14,Meal,Indulge in the Richness of Fine Dining,5
Williams Inc,5,Meal,Indulge in the Richness of Fine Dining,21
Owen PLC,17,Meal,Crispy Snack Platter with Zesty Dips,9
Strickland-Cervantes,20,Snack,Crispy Snack Platter with Zesty Dips,23
"Foley, Chambers and Turner",6,Snack,A Symphony of Flavors in Every Course,14
